user_name,comment
itsmeeca___,Tkut ya nadd
pbryansyhh,jujur bae dam
instaherry,"Deh nu hade... Nu macem"" di gibas bae"
asti_rdh,Infooo mazzeee
adeffik_,Mau heran tapi ini pandeglang
inpopandeglang,"anak mantan kepala dlh  tapi udh mati bapaknya, kayaknya dia juga ingin nyusul dihukum mati"
fla_bouquet,"Astagfirullah, semoga pelaku mendapat balasan yg seadil-adil nya. Tapi apa mungkin ya liat sidang nya aja begitu ??"
siskaapriyy,keadilan sosial bagi yang punya uang dan wewenang
ibenxsisare,"Kalau bukti sudh ada, kenapa g diproses? Apa krna ada amplop nya Pak? Pasti orng tuanya buangga punya anak dengan nama bagus tapi kelakuannya???????????? smpe orngtuanya melindungi anaknya yg salah. Miris banget"
anggiedwia,sama bgd ketika lapor ke komnas perlindungan perempuan dan anak di pandeglang cuma diketemuin sekali lalu ga ada kejelasan yg ujungnya tetep harus byr pengacara dengan alasan bisa dimusyawarkan pdhl lapor tuh krna udh ga bisa musyawarahkan mknya minta bantuan ga ngerti lagi kirain gw doank yg tidak jelas penyelesaian masalahnya ??????
as_ary42,Ternyata pelaku mantan anak pejabat. Mantan aja masih bisa berkuasa ya...!!!
wildanmutaqin_,"Jangan diam, bantu lawan, kita bersama korban!"
tbyxxh,"Disini harus viral dulu baru di tanggepin??  yaaa kalian juga psti taulah knpa hraus viral dlu baru ada keadilan , gk perlu di kasih tau pasti kalian juga udh tau"
mriniaty,"sebaiknya kalo berbicara yang sensitif dipikir lagi. Korban bisa saja baca komen kamu, dan tersinggung, makin depresi, dan seterusnya. Setidaknya kalo kita ga bisa bantu, jangan memperkeruh suasana."
tiaoktaria92,KASUS PACARAN BIASA? WKWKWK PACARAN BIASA MANA ADAA KOSA KOSAAN BAPAK IBUUU.. APALAGI SAMPE DI REKAM DAN JADIIN BAHAN TEROR KE KORBAN SELAMA BERTAHUN TAHUN DAN SKRG KELUARGA. HADUUU BIASANYA DIMANA? MUNGKIN BAGI KELUARGANYA BIASA KRNA EMG UDAH KEBIASAAN BEGITU
aldinitri,"Suka mintain duit juga, kalo gak dikasih ngancem mau nyebar videonya. Heran banget kok bisa kelakuan jelek diborong semua sama dia."
tanwiruljojo,Motivasi agar move on ? Maknanya kemana nih ? Maafin ? Damai ? Terus apa hubungannya kejari dengan memberikan motivasi kok diluar ranahnya ?
moethoi_rvltn,yg ga sehat ini oknum plat merah nya sih.. makin gila aja penegak hukum nya malu²in pdg...emg lebih baik serahin ke netizen
ezracs34,Terus berjuang..jangan takut bila diintimidasi..lawan.. Alfatihah untuk anda & keluarga agar di beri keadilan se adil-adilnya .& Untuk mereka para pelaku mati kita bacakan surat alfatihah juga agar pelaku diberikan azab Pedih dunia-akhirat
akunnabila_,lagi lagi main fisik hehehe gbsa gtu ya laki2 klo marah ga sambil main fisik?
megagalee,dilihat Dr sis wanita atau korbannya dong Bang. Di baca lg dari awal sampe akhir yah
dw.hasta,"Astagfirullah, semoga Allah beri balasan seadil adilnya didunia maupun akhirat bagi pelaku ataupun keluarga pelaku yg menutupi kronologi sejujurnya.. aamiin ??"
tesar_al_ansar,org tua pelakunya mantan pejabat. Pantesan alot buat memproses pelaku
noviatulr,"3taunnn bukan mainnnn?? kuat bgt kamu kakk, smg segera mendapat keadilan amiiin"
etoyshadewa18,"Kalo gak bisa jalur hukum, mending bayar orang buat buang sampah kaya gitu. Kaya gak tau Indonesia aja"
irfan00_00,Bukan lah. Pemerkosaan bukan hanya itu pengertiannya. Di jebak dan dikasih obat tidur juga termasuk pemerkosaan.
rreztianjani,tak segampang itu ibukkk... semisal klo keadaannya dibalik bagaimana? apakah ibu akan menerima motivasi seperti itu?? mereka tidak butuh motivasi butuhnya ke adilan bu??????
im.meld,"diancam sebar video pornonya, dan emang udah disebar ternyata.. coba di baca lagi captionnya ??????"
pakbuyek,"Bukti bobrok nya keadilan,serius nih masih pantes Pancasila adalah sumber dari segala sumber hukum (sumber tertib hukum) di Indonesia. Pancasila adalah asas tertib hukum yang dalam Pembukaan Undang-Undang Dasar 1945 lebih lanjut ke dalam empat pokok pikiran. Pancasila meliputi suasana kebatinan dari Undang-Undang Dasar 1945. gimana ini pak"
aditwalemo_1212,"Kawal terus lur kasusnya sampai diproses mendapatkan keadilan,kasihan loh korban y untuk kakak y loe keren lur jgn lelah utk meminta keadilan seadil"" y??"
amiwlaa,Dear kampus  please DO anaknya skrg juga.
lisdaamallia,semakin terang terangan sekali yang di lindungi negara  yang memiliki power????
rikaaoktavv,Baca di akun sebelah katanya si pelaku ini anak Alm kepala/ketua LH lupa namanya siapa masih keluarga dinasti gitu jd korban kalah telak sama kekuasaan ????
ichiacaaa_,"heh ga paham bahasa Indonesia apa gimana? Itu si cewe nya dibikin engga sadar dan di ruda paksa, divideoin pun si cewe nya udah dalam keadaan engga sadar,kalo mau sama mau sama sama sadar dan sama sama menikmati"
ian_sah,"Rameken dak, ulah dibere ampun jalema pelaku kitu mah, komo mun dilindungi oknum, rungkadken sakalian oknum na."
inpopandeglang,Besok min sidang tuntutannya kawal semuanya
meizhra18_,"Gampang bgttt ngmong damai, harus di hukum dongg!!!"
iyan_nafasa,anaknya kepala MANTAN dinas lingkungan bang.. MANTAN yaahh udah gajadi apa2..
angga.my14,indahnya mahasiswa saat ini ya
apip_family,Kawal nih sama bang  jangan kasih kendorr ????????
windiaswira_dsp,awas aja tiba2 jdi hilang kabr beritanya . kawal trs netizen pandglng. biar dpt hukuman sesuai smaa kelakuannya
nazranff,kawal kasusnya sampe tuntass!!
ransyah681,mana keadilan bagi seluruh rakyat indonesia?
aziz.khakim,"up, ramaikan!!!"
rizki_store117,Jir pengen nampol mukanya pengen siksa balik saya orang banten miris melihat penyiksaan korban
amiiiwld,"tugasnya kejari kan menuntut bukan berdamai, aneh"" aja"
firansyaharis,Susah sih orang tuanya pemerintah korban GK ada bekingan yg gakal menang
llinkarr,nih ig nya
haniii.anddd,duh malu2in kampus Untirta -___-
__.syifann,gimana nih mahasiswa nya?? Malu2in kampus ajh duhh. Masih mau nerima mahasiswa yang kelakuannya kayak set*an gituu??     ???
bani_husni,temennya pelaku ya
haritsyah_mhd,"BIADAB BIADAB si pelaku , WAJIB di hukum seberat berat nya , mohon Bapak Bapak penghuni Lapas untuk membalas derita si Korban"
dadanhandiyana61,tolong dbantu keluarga ini .
ferryfey49,Piraku bae kudu nge tag  ??
yanswardhana,"Up terus min, jgn menyerah, netizen2 banten mendukung mu..walaupun pasti kadang ada yg ngusik2 admin..hehe??????"
roymart61,kaka pelaku juga merupakan ASN di . Dulu dari
d.daeseaa,"coba cari aja teh, nama dia Alwi Husen Maolana. anak dari alm. Anwari Husnira, mantan kepala LH pandeglang. sien ih iemah sanes twitter bising di grebeg"
ahmad_jazili,"Jangan pilih calon pejabat yang cuma mentingin keluarga pribadi sendiri... Karena memang tak seharusnya dipilih, karena di tak peduli dan adil terhadap rakyak."
onotrap__,Mukanya kaya kodok amat itu pelakunya????
hizti,Ya allah ga kebayanv kasian korban?? depresi . Semoga allah nolong semoga ada keadilan. Peringatan utk kita semua org tua dan keluarga jga anak perrmpuannya . ?? jahat bgt pelakunya
astakalabiantara,"Ini udah viral di dunia maya, daripada institusi tercoreng karena satu dua oknum, lebih baik segera perbaiki dan bekerja dengan jujur, ingatlah sumpah jabatan kalian kepada Tuhan YME. Tolong atensi dan bantuannya, cc."
afiii.mf,Mohon juga diaudit unit kerja di daerahnya atas kasus ini. Cc.
mfajarssyam,Hukum mati !
ridwanmuhammad_22,Tolong bantu kasus ini Pakkk ??????
selenophiland,"Tolong pantau kasusnya bu, kasian korbannya ??"
rahadiansyah7,Kawal terus min
ismarosmiyanti22,Jangan sampe memalukan pandeglang lagi
96_hitsuji,"Kawal ampe bui, nitip sama penjaga lapasnya jangan lupa dikenalin sama senior lapas nya kalo ni anak tukang nyabulin anak orang. Biar jadi bahan bulan2an tahanan senior??"
fathul_a.m,Gua lebih percaya messi lahir di labuan
llinkarr,"Alwi Husen Maolana, gue ulangi lagi nama dia Alwi Husen Maolana."
erulsah,"udh diganti sekarang bg, kota wisata.. miris"
tikka_aquariuss,org mna a cowonya
shifa_anggra8.16,"coba lapor sama  nih anak bupati tapi beliau gercep sama masalah begini, gue pernah Mak DM beliau eh d balas oleh stafnya dan Alhamdulillah ada jalan baik dr pihak pemerintah"
ayiii4_,"Iya keluarga nya berseragam liat ditweet, jaksa+kejari pdg cuma respn 'memaafkan/km hrs bijaksana/mengikhlaskan'"
celcius_fahrenheit_degree,"komen elu salah bob.. Seolah olah elu melegalkan perbuatan si pelaku krn ada kalimat elu yg bunyi suka sama suka.. Itu perempuan di buat ga sadar dan si pelaku dgn mudahnya rekam dan rudapaksa,,cb d pikir dmn sisi suka sama sukanya deh.. Cba gw mau tau kl kel lu yg alamin begini masih bisakah lu ketawa atau komen kaya gtu.. Miris laki laki kow ga ada empati sama sekali..."
ratuade,Sakit'jiwa tuh orang naudzubillah.... jauhkan lah anak anak cucu kami dari hal2 yang tercela
sahrodin_ks,Duite laka hukum pasti laka
adistade,Ada kekerasan seharusnya memang bisa di laporkan .. bukti chatt juga itu bisa buat bukti karena ada pengancaman . . Pak lisi tolong bergerang jgn tunggu viral dulu
marifatul_dzikri,Yg janggal prose sidangnya yang saya baca di Twitter
mufidansori,Ayo kita kawal jangan sampe lolos...
wildanmutaqin_,"Pak jokowi      tolong pak bu jangan menutup mata, bantu kasus ini"
dede.rusli70,BU Irna  mungkin bisa ikut membantu warga ibu
sugandalaksana,Untuk apa adanya hukum kalo tidak bisa menegakkan keadilan?
febi_kl,Kumaha ibu?   ??
edi.nugroho17,pengadilan sama kejaksaannya diusut jg gak sih?
wahyu.bic.bmc,"Viralin min Tag""n pihak berwenang kalo udh viral baru pada lurus"
doc.mad_rudi,"Bagus, tidak diblur pelakunya??????"
agoes_totot,"Gak 1dup loe tong kl ade w yg d gituin , lagian juga d laporin malah percuma , biar w aj yg d penjara kl sampe ade w d gituin sama orang2 B4ngs47 kyk itu"
emuamarslimaida,Tidak usah perhalus minta damai dengan kata teruskan hidup alias move on. Tanpa disuruh juga korban sudah berjuang!
ismarosmiyanti22,YAAHHH DIPRIVATE
panggil_ham,tolong dong nama akun bu jaksa sama bu kejari nya dilampirkan agar kita bisa bersilaturahmi
inpopandeglang,anak mantan Kepala dlh  bapakny udh metong
llinkarr,nama nya Alwi Husen Maolana. kalo mau mampir ig nya ini
rndrean_,"kalo hukum sama pemerintahan nya gak bobrok mungkin udah maju bang,"
miladewi93,Viralin ka biar dikeluarin sekalian dari kampus
fidzsidik99,Alwi anak akutansi D3 Untirta bukan sih..
ayunasn,itu kan tertera nama di slide terakhir
dimaspashaofficial,"Terimakasih Infonya, Semoga semuanya terselesaikan dengan baik"
sibgo.halim,Ini maksudnya nanya anaknya siapa kan? Bukan nama anak nya siapa?
x.sin2,"kalo gak salah ni bocah bapaknya LH. backingan nya kuat, pantes aja kasusnya gak dikupas tuntas"
agung_cahyana28,tapi pemerkosaan itu kan dalam artian d paksa walaupun sama cowo nya sendiri begitu bukan sih wkwkwkw
nurlitaaris,malah ketawa gak punya empati banget jdi orang
eka_1317,Gak kebayang mental korban ancurnya kaya apa ?? apalagi orang tuanya??
nhzijah_,"Obsesinya ngeri bgt njirr, astaghfirullah. Lanang kek gitu mesti di pasung sih terus di simpen di kandang harimau."
anbu1238028,"Gw lebih miris liat yg salah satu komen dsni malah ngetik ""orang mh spill videonya bukan kronologi nya"" Stresss emang"
musabigmad,"Sesungguhnya pacaran itu Haram, apa lagi sampe maksa Gini ajg"
nongnenny_serang,"Ya Allah kasian bgd psti tekanan batin sikorbannya..mana si Alwi ini semena2 bgd sama sikorban dihajar dijambak..astagfirullah org tua mana yg rela anak perempuannya diperlakukan kek binatang,udh pke kekerasan parah itu MH si Alwi anak akuntansi Untirta cba ada yg kenal ga siihh,psikopat apa yahh..??"
sarwan_elmi,Stay halal guys????
ichaarsa14_,Jgn di blur min
taufikawami,"Undang undang di buat untuk melindungi pihak korban, dan sebagai landasan korban dalam mencari ke adilan, lalu bagaimana dengan penegak hukum yang sepertinya kurang paham dalam undang undang? Sebaiknya di adakan perombakan para penegak hukum ini"
nuna_rafasyahla92,BU  ...tolong di read bu..
asendnrf,Nitizen ayok kerja jgn ksi kendor????
albirachman,Kejaksaan Pandeglang tercoreng.......si oknum PLANGA PLONGO....di gaji rakyat itu untuk melayani rakyat...bukan buat gaya gayaan.......OTAKNYA DI PAKE YA..
aldireihanbugar,"Mau tanya, apa hubungannya tugas Kejari dengan memberikan motivasi pada korban? ??"
yullia.sharma,"Pak ustad nih liat pak ustadz petinggi di Pandeglang kaya gini,  kemarin kan pak UAS bilang Pandeglang kota santri, tapi liat pak , kelakuan nya pada kaya gini, kasih paham pak ustadz.  ,"
wikeznufus,dari sorotan matanya ngeriiii banget
kiboymaulanaaa,Jangan percaya 'katanya' mas.
pacarmin9yu__k,kalau mau mampir ke second acc nya  itu
akbar_vinsmoke,mending viralin tu jaksa nya biar  copot jabatan
fseptiansputra,monggo silaturahmi.
anugraha.d,"Di data pddikti ni anak statusnya hilang, cuti sejak 2021...."
iismasriah,anak alm. Mantan Kadis LH
velvetxandy,kesel banget kayanya admin
yodie7,"nih bang, IGnya   dan ini link Facebook nya ???? https://www.facebook.com/alweec?mibextid=ZbWKwL"
_xabstrax,darurat membaca
emuamarslimaida,"Kau sendiri sudah tahu kalau suka sama suka bukan perkosaan. Di luar itu ya artinya perkosa, dipaksa, dijebak, ditipu, dikasih hal tertentu sampai tidak sadar tanpa izin pihak wanita dong. Pertanyaanmu seperti SDM rendah saja."
gurenichinosee111,"baca lagi beg0, minimal otak lo dipake jangan dianggurin."
romapcy,malah mikirin centang biru??
chen.ling23,Yuk di up call 911 Bang  biar bisa dibantu penanganannya
riskaarian,"Semoga adiknya dikuatkan selalu untuk bangkit, semoga Allah kasih jalan terbaik"
apip_family,Kawalll terusss netizen. ????
luberzky_,Untirta lagi susah payah naikin branding nya eh langsung di ulti sma ni anak .
rifki_elmauli,"Coba bedah instansi nya, instansi tersebut adalah lahan basah untuk cuan,lu punya duit KELAR!! UU tydack berlaku ??"
iamfaxx,Relationship yg positif itu perlu entah dari pertemanan ataupun hubungan seperti itu. Sangat miris sekali ya akhir² ini kebanyakan kasus seperti itu??
ismt_gibrann,Hadeh pendeglang maning bae
gpufarm,Jadi orang kok jahat banget ya
ilhamfnb,Viral dlu baru usut ygy ?
mikdadiqbal92,Nitip kuhp pasal 386 ??
glngfrzky,"Hadirkan dong terdakwa pakai baju Belanda, biar jelas awokwkwkw"
bangari1986,"Semoga taat hukum... Dan menyadari atas kesalahannya, dan tak kan terulang kembali."
tanjunglesung_id,"Issue nya akan hilang, tapi korban akan menanggung trauma seumur hidup mental nya hancur.. Maka hukuman maksimal 6 tahun tidaklah sepadan. Hukuman Apa kira kira yang layak untuk pelaku ? Bantu jawab wahaiii netizen yg budiman??"
hanifan92,Apakah adminnya membela tersangka?? Kok melindungi wajah tersangka ??
oneto2234,"Untuk kaum hawa, Lebih baik diam dirumah. Kalo ada apa2 coba segera ungkapkan ke pihak2 terdekat. Agar tidak beruntun mendapatkan perlakuan yang seperti ini"
bro_arsall,Mohon bantuannya bang  ???? semoga segera di respon?????????? bantu tag dan kawal terus netizen?? jangan sampai ada kata damai dan jangan sampai pelaku di hukum ringan karena benar2 perilaku bejatnya dan tidak manusiawi?? semoga buat korban dan keluarga di beri kesabaran ketabahan dam kekuatan????
americano4.0,KAWAL TERUS MIN!!
hattraaaa,ramein dong sidang tuntutannya besok!
wildanmutaqin_,tolong di bantu ka
exsnow_,UPPPPPP TERUS TETEP PANTAU!!!! HUKUM SEADILADILNYA!!!
slstri13,"tingali atuh bu, masa dibiarkan begitu saja"
mu_lianingsih,"Ini pelaku yang mahasiswa untirta? Plisss emang kayanya si cowok piskopat juga dari kata² chatnya. Walaupun emang hukum ini bisa di bilang belum adil, tapi hukum Allah pasti adil teh. Hal kaya gini mana bisa di ikhlasin, wkkw enak bgt tuh yg bilang mending di maafin, di ikhlasin. Semoga ada orang baik dan adil yang bisa menegakkan keadilan di Pandeglang;)"
ratujenny,Bu coba dilihat sebentar  ??
pak_rtsebelah,"bisa kali min nih, soalnya jaman sekarang apa apa harus viral dulu"
r.nii7_,Geram bangt sama hukum di pdg hahaha
nrhsnh110,"Dari februari, dan disidangkan di Mei. Berapa bulan makirnyavtuh ya. Alot banget emang."
miladewi93,Giliran udah viral aja baru bilang miskom gak sih ?? maaf kalo salah hahaa
evi_septiani1609,spill pelakunya kak
yesita.rmdhnt,"yaaah ga seru, akunnya di gembok wkwk"
icha_khairatunnisa,"cuma bisa liat bio nya, ""I believe in god"" tapi kelakuan kek penyembah Lucifer"
hendri.febriansyah7,jadi kota konoha bang ??
pengabdibeceng,"kampung soge masjid, panimbang jaya, panimbang"
__fahm1,Percuma bang kalo belum tembus lambe turah pura2 ga tau….
adamsyaron46,kasih paham aja saudara kalau jiwa petarung itu bukan berani sama wanita toh??
d.daeseaa,"ada yg cek mah di dikti akuntansi untirta a, tapi urang teberani bilang pasti yah"
jak_bayu90,anaknya siapa bukan nama nya siapa ??
daniel.pard.s,malah ketawa lw bang..
baryaf,"kalau bingung ya dibaca slidenya sampai akhir, hadeh. ??"
irfan00_00,Maksud dari komen lu ini nanya prihal apa? Prihal definisi pemerkosaan atau prihal postingan di atas?
ahmad_jazili,"ga tau kronologi, ga mau baca... Yang  begini lah"
nasi_liwet_tangerang,Kak kok bisa centang biru tp followernya.Postingannya cuma satu??...suhu iniih
muhamadirfan271094,kirim nasi liwet dlu kak wkwk
adisuparto,Up gan
msyukron10,Usut tuntas agar jera dan sm2 bs mrsakan dmpak dr klkuanya..atagfirullah alwi
gmarethaaa,KAWAL AMPE KELAR !!!
agus_erwiyandi,Up up up up up
sanik_rdfth,"Paling gk kuat dan gak tega kalau denger berita begini. Apa kudu bawa setruman atau apa gitu ya buat melindungi diri, dan kalau bisa mh si pelaku di kirim ke kamp gulag Russia or Korea utara"
pyckunder,"Ketika islam mengajarkan jgn pacaran, tp awal dari pacaran dianggap hal biasa"
dianfdlhhh_,ga kebayang mba nya selama 3 thn jalanin hidupnya pasti kesiksa bgt??
dhika_zaka,Parah bener nih org
evitayyyy,kamu hati hati kalo bergaul naudzubillah mindzalik
smart.fren14,izin bapak semoga bisa dibantu
hallo.haidar,liat
feryilhamjauda,Lagi2 banten viral nya selalu dgn skandal ??
hikmah_upika0713,Astaghfirullah ???????? parah
_ininuuu,Spill ig dan foto pelaku dong
lil_44342,Kalau bener lolos dari jeratan hukum. bener² Pandeglang ini
arull206syaffrudin,Di gas mang
tatuzahrotuluyun95,Maju terus Pak..
faishol.el,Harusnya di atas 10 thn
anisarahayuags_,Kawal terus abang ??
ohanalkevino10,Jangan lupa terus dukung tim kuasa hukum korban dari LBH RB
firza_review,Wakil ente tuh  ??
fairouz.arienugroho,Kasus porn revenge Pandeglang Banten
imazz.moetz,Kirain di lembur batur doank lamun Viral karak di UP horeng ngalaman oge di lembur kelahiran... semoga hal baik segera terungkap bisa mendapatkan keadilan seadil2nya amin
adeardiansyah26,Tag yuk   siapa tau beliau bisa membantu nya
hallomaxs,Kan tuh kalau viral beda lagi ceritanya
suganda_2189,Sekalian dikebri nih orang
arssyahid,"Kawal terus min berita nya, jangan sampe kaya kasus nya Mario, borgol aja bisa lepas gitu ??"
___lengkara,"masa harus viral dulu baru kerja bener sih, hadeh. kerja lah tanpa di pantau"
jizah1403,knp selalu perempuan lg yg jd korbannya??
ichsanmavlana,tolong tindak nih anggota lu
wildanmutaqin_,mohon di beritkan demi masa depan korban
fairouz.arienugroho,Kasus Pandeglang Viral
renieryanti2324,Upload ditiktok biar ramee??
enjoyment_official,Keadilan harus di tegakkan dan harus di tindaklanjuti sampai putusan pengadilan mengeluarkan keputusan vonis terhadap pelaku.
nidalmahesa,OWW MUSUHHKU KASUS LAGI WKWWKW
mas_apri0,Bismillah
vhyrni,"semoga kedepannya semakin dilancarkan yaaa, titip salam buat korban semoga keadaannya segera membaik. semoga sekeluarga selalu diberi kesehatan dan kekuatan!"
ibenk_012,"Utk negeri tetangga kan kasus hukum itu harus viral dulu baru ditangani dengan baik, kalau di indonesia pastinya transparan dong. hukum di indonesia kan badebest"
fareel.wijaya,"kasus yang melibatkan oknum jaksa kabupaten Pandeglang, provinsi Banten"
rikrkmna,"Harus d ungkap dulu nihh biasanya, minta bantuan nya ,   biar kasus nya d usut tuntas"
nurfitririka,hukum berat pelaku seberat beratnya!!!!!!
pdgstateofrhino,Nyampe juga ke Pandeglang ni modus revenge porn. Mun lain budak pejabat mah mereun geus rumah digebugan sieta
cherycey,usut tuntas bu jaksa nya. Ini kasus serius loh bu
belladmyntiiiiiii,Ini sih udh bukan lagi manusia laki nya ????
hawasi49,Mohon bantuannya
inna_februari,Tolong ini bu
dstyfzhh,"JAHAT BANGET SUMPAH ITU MAH BUKAN MANUSIA LAGI, BINATANG!"
holwanie15,Harus nunggu viral dulu.. ?????? Miris Hukum negri konoha Tumpul..
nfitrianidewi,"Yg terhormat ibu kita  bagaimana kelanjutannya ibu? Tidakkah cape dan malu dengan kasus seperti ini, kemarin2 saudara saya yg dibunuh sadis oleh mantan pacarny, dan ini terjadi lg di daerah tercinta terkasih yaitu kab. Pandeglang, dengan hal yg serupa hanya berbeda ini masih hidup dan yg pertama meninggal tragis, akannya berakhir seperti itu juga ? Tlg di tindak seadil2nya jangan bungkam semua org sama dimata hukum, ya cuma skrg yg ngebedain kamu punya kekuasaan dan uang tidak. Nuhun"
rizalogik,Bapak   ??
whyuningsih_ayu,Namanya gasebagus kelakuannya??
eldi_funxbumz,Keberatan nama jadi kelenger ??
mas_apri0,Salam olahraga di rutann bang??
suganda_2189,"Padahal anak mantan dlh gmn anak gubernur parah nih klo sampai gak dihukum berat,bila perlu dikebiri nih bagsat"
ofaymustofa94,Hukum Mati aja min
ratufikririzki,Emang Kejari Merangkap Psikolog kah? ??
yasiroh97,lah damai ?? kok gtu yak?? ga ksian sma korbanyaa toh ?? ini gmnaa si crtnyaa hal kya gni smena2 d spelein bngt..pntesan bnyak yg sring trjdi kyaa gni. hukumnyaa sih bcndaa trus
a_aajii22,kumaha barudakk
sandymjhd_,asli?
incu_ultram4n,akun pelaku nya bukan bang?
llinkarr,iya
arlinaa07,gaasik akunnya private ??
akunnabila_,betul?????
feeljuice_id,kan emg belakangan ini kasus Pandeglang pasti mslh seksual2 dan seksual
llinkarr,@(null) ya emang di private tapi dia oknum bejadnya
novitayanti000,anak pejabat
sanjaya_albantani,Lapor anggota dewan
sanjaya_albantani,biar dibantu sama mereka
pudholi7,sepertinya kalau abang yang turut masalahnya cepet selesai.
matiggresssssssss,mohon atensinya atas dugaan oknum Jaksa di pandeglang
belladmyntiiiiiii,org mana si dia
taufiqc16,ini bang IG nya. ?
fathurrzkinrhmzh,eeee alwi lain fathur bangcatttt
krliaptry_,lagi serius2 baca komen mlh ngakak baca reply’an gni??
lindahutapia,kuat bangeeeeet anak yg luar biasa 3 tahun lho...
lisnaryu,pelaku dirumah ga si? Susulin aja dah ama netizen Pandeglang abis dah tu
inisakinah,yg berpendidikan itu pada paham kk ama ilmunya. Cuma kalah sama uang dan jabatan. Akhirnya mangut jdi ekor
_alwi.sihab,bukan saya kak??
ayuniyusup,@ velvetxandy saya juga sama kesel nya ama admin ?? banyak tingkah mentang2 anak pejabat giliran kena kasus nanti minta maaf ampe nangis2 lagi ... giliran ngelakuin kesalahannya begaya ampe ga punya hati ..
lussieztunnisa,fake
rkmln1,"udah lah bang gausah ngurusin, cukup tau dan jadi pendengar aja, yg penting gak ngerugiin diri sendiri dan gak libatin lu juga bang."
ilham.ompong1,"mending di baca lagi bang, biasakan membaca. Di ancam di sebarkan video porno nya klo gak mau di sebanrin ada syaratnya, si cewek di paksa harus jdi pacarnya si dia(cowok yg memperkosanya)."
agustimas_ag,baca lg bang. Pelaku memamksa korban untuk jadi pacarnya dgn cara di jebak pakai video. Korbannya di buat ga sadar
noni.hyati,iqra ..baca...heran deh suka bikin emosi aja
lindalstr00,ngeyeel
rbinrullah_,"Gas sih bang,btw tutor centang birunga dong??"
achmadsaefudinas,"hahaha centang biru sudah biasa, centang Merah putih luar biasa.  Hidup keadilan usut tuntas bila perlu kandangin se umur hidup pelaku biar tidak ada lagi 4n*1n9 4n*1n9 lagi yang berkeliaran!!!"
nasi_liwet_tangerang,hhaahaha daripada pusing mikirin hidup bang ??????
nasi_liwet_tangerang,aku biasa taunya  centong nasi bang jd agak2 norak yaa????????
frmnydi,mau ngakak tapi gimnaya wkwk
hafidherdian,te bisa d buka dok
noxxn._,"kota pandeglang, kota sejuta viral"
autoruneza,bang hotman tolong di cek bang siapa tau bisa bantu
awahyudi_25,Mari bantu UP VIRALKAN
ilhamaufasyhd19,????
bella_gabriiela,"Jiijikk bgt liat muka itu pelakuu,.."
san_fsyh,"kasusnya harus dikawal terus min, klo gak nanti kasusnya sama kyk kades kemaren..."
imaseeeeeee,"Akhirnyaa di up jugaa, semoga segera dapat keadilan untuk mba korban. Dan untuk pelaku alias ALWI HUSEN MAOLANA segera dapat hukuman yg seberat beratnya!!!!"
m_mardiannn,miris bgt astgafirullah.. tolong bantu pak diusut tuntas kasian korban??
ultramen_sakti97,Ijin jendral     mohon untuk di jadikan atensi
hilal_4920,Gas Weh kalo main hakim sendiri gk bisa terpaksa main hakim bersama
mhmmdbqii,mukanya kaya sarang burung hantu
haikalstyles,kebanyakan makan duit haram si
listafaujiah,Semoga hukum tidak tumpul ke atas dan runcing kebawah. Peluk jauh untuk korbannya. ??
darapuspa_makeup,KEBIRI COCOK!!!!!!!???????????????? geregett!!!!!!
restiekalestari,Kalo sampe pelaku ga di hukum dengan semesti nya padahal udah bnyak bukti harus dipertanyakan sih  penegak keadilan masih bekerja sesuai sumpah nya ga?
ramadani_s.r,Apa kabar orang PANDEGLANG ?
evianayatiningsih13,Parah banget sich ini kejiwaannya naudzubillahmindzalik????
mhmmdbyy._,"lu punya duit, lu punya kuasa ibarat lu ga ber materi lawan orang yg ber materi"
mrswayong,pandeglang lagiiii.....????????
abdlatif1306,"Ini kek nya pernah redup deh, skrg udh ke up lagi.... Tp klo sebelumnya muka si cowo nya di blur, dan sempat membela diri gtu... Memutar balikkan fakta"
jihanseptyaa,Psikopat wkwk
fahmifrz_,Haaaaah kasus pacaran biasa wtf bro  really sampe ngancem apalagi di sebarin video pemerkosaan dan udah 3 tahun masih di anggap kasus pacaran biasa? Damn sungguh alasan yang tidak masuk di akal sama sekali
vinani.20,tolong di bantu bang hotman
lilyafriani90,Biarkan hukum sosmed yg berlaku jentikan jemari netizen akan membuat pelaku dan keluarganya malu 7 turunan
rika_rosalina_azka,Jancook lanangan opo ikuuu
dsyaa__99,Belum juga usai kasus kemaren ehh sekarang ada lagi ya allah ??
nfadliipd,"alealwii__ tidak bisa menyebutkan disetting ig nya, silahkann ini anak baik nya"
bundacantika_96,"Kasian banget sitetehnyaaa ????, yg kuat ya teeeh . Semoga hukjm diprosesndengan seadil adilnya. Aamiiin"
hyo_naabi,mohon dibantu pak ??
netizen_tangerang,Miris amaat yaa
iin.inayah97,Bantu up biar di denger sama hukum??
rizki.hikmatulloh,BUKTIIN KALO SILA KE 5 ITU MEMANG ADA.
riop726,CoBa foto pelaku ditampilin siapa tau ada yg ketemu di jalan bisa aja di ajak ngopi seklian karungin
aem_nu95,Viralkan
041005_boys,Hukum secara adil
tehcelup.sariwangi_,Anak mantan Pejabat
