user_name,comment
iif_funky,Kabarnya tersangka tidak hadir dalam persidangan ??
thamaraaraa,Gua tau si ini siapa
1indahputri,Kawal terus ya ibuuu   ????
ichal.fr,"sampein ke  pilih mau sama siapa bro, sasana tinju kita ada meskipun ga se proper tmpat para atlit mau ama King  atau"
alwii.hkm,"mngknna ulah songong jadi jelema mah lurr, kdu rumasa  ??"
khong,"keluarga ini punya ""power"" dipandeglang, mankanya kebal dan berani intimidasi. ngerii..ngerii"
calotes_19,Ngerasa anak pejabat jg boga power ieu budak
amntnnaulaa,ni anjir
lindalstr00,"Status mahasiswa kelakuan kaya orang gak sekolah, pengen jambak sampe gundul"
1indahputri,????
ratuhannyy,Kandaa Ale ko masi santai aja??? ayoo kluarkan lah wujud mu kanda Ale ale????
_diditbocor,"Keadilan bakalan menang, mong!"
umar_un920,"Dinasti oh dinasti, pentolannya dah dipenjara / meninggal pun kuasanya masih ada.."
winddyuliansyaaa,"Hayoloh viral, lagian sosoan mam sangu keneh ge ngancem ngancem sagala macem ka anak batur????"
dwisamsulrizal40,"jika benar memang anda adalah pelakunya, anda adalah manusia yg tidak menghargai ibu anda sendiri sebagai wanita"
jmldnarofei_,"Trending bgt tu thread, katanya sih pelakunya mahasiswa"
bayu_adhari99,Hukum tidak akan berjalan kalo ngga ada uang makan tai emang penegak hukum nya ????
rosa.ats03,Udh viral baru di tangkep
viktory_sofians,Bang jangan takut untuk berbicara bahasa Sunda Pandeglang
ale.fth,"Mau komen, tapi takut di sangka pelaku??"
richvodkaaaa,tanggung jawab lah minimal.. Bio sama kelakuan jomplang banget
al.dafff,SAMPAH
rezasupriatna_,Pandeglang lagi pandeglang lagi lamaa lama dapet piagam penghaargaan ini mah
mahsukadia,cowo beban
_qihhf,beraninya sm cwek.
radenfahrizal,IG nya si Baji*** Ban** kaleng gak ada apa?
alanbudip,Tolong bang
dorikpratama,Hih nyah
khaiimaan,"Wah ALWI siap2 nerima sanksi sosial dari pelampiasan netizen di Banten khususnya, selamat ya buat kamu ????"
kaataanyaaa,aya wartawan PW
1990aarchives,waduh nek temen dlu mabar kita ko jadi gini ya
melody.amaliya,"Belakangan ini pandeglang serang lagi viral terus nih, yg perempuan korupsi buat modal skincare dan yg laki"" punya bini banyak suka hiburan malam. Maluu, semoga Allah murkanya sama pelaku aja amin"
